CMDLINE c:\programdata\anaconda3\python.exe mem_test.py
MEM 140.597656 1554307694.9715
MEM 140.597656 1554307695.0715
MEM 140.597656 1554307695.1715
MEM 140.597656 1554307695.2715
MEM 140.597656 1554307695.3716
MEM 140.597656 1554307695.4716
MEM 140.597656 1554307695.5716
MEM 140.597656 1554307695.6716
MEM 140.597656 1554307695.7716
MEM 140.597656 1554307695.8717
MEM 140.597656 1554307695.9717
MEM 140.597656 1554307696.0717
MEM 140.597656 1554307696.1717
MEM 140.597656 1554307696.2718
MEM 140.597656 1554307696.3718
MEM 140.597656 1554307696.4718
MEM 140.597656 1554307696.5718
MEM 140.597656 1554307696.6719
MEM 140.597656 1554307696.7719
MEM 140.597656 1554307696.8719
MEM 140.597656 1554307696.9719
MEM 140.597656 1554307697.0719
MEM 140.597656 1554307697.1720
MEM 140.597656 1554307697.2720
MEM 140.597656 1554307697.3720
MEM 140.597656 1554307697.4720
MEM 140.597656 1554307697.5721
MEM 140.597656 1554307697.6721
MEM 140.597656 1554307697.7721
MEM 140.597656 1554307697.8721
MEM 140.597656 1554307697.9721
MEM 140.597656 1554307698.0722
MEM 140.597656 1554307698.1722
MEM 140.597656 1554307698.2722
MEM 140.597656 1554307698.3722
MEM 140.597656 1554307698.4722
MEM 140.597656 1554307698.5723
MEM 140.597656 1554307698.6723
MEM 140.597656 1554307698.7723
MEM 140.597656 1554307698.8723
MEM 140.597656 1554307698.9724
MEM 140.597656 1554307699.0724
MEM 140.597656 1554307699.1724
MEM 140.597656 1554307699.2724
MEM 140.597656 1554307699.3725
MEM 140.597656 1554307699.4725
MEM 140.597656 1554307699.5725
MEM 140.597656 1554307699.6725
MEM 140.597656 1554307699.7726
MEM 140.597656 1554307699.8726
MEM 140.597656 1554307699.9726
MEM 140.597656 1554307700.0726
MEM 140.597656 1554307700.1726
MEM 140.597656 1554307700.2727
MEM 140.597656 1554307700.3727
MEM 140.644531 1554307700.4727
MEM 140.644531 1554307700.5727
MEM 140.644531 1554307700.6728
MEM 140.652344 1554307700.7728
MEM 140.652344 1554307700.8728
MEM 140.652344 1554307700.9728
MEM 140.652344 1554307701.0728
MEM 140.652344 1554307701.1729
MEM 140.652344 1554307701.2729
MEM 140.652344 1554307701.3729
MEM 140.652344 1554307701.4729
MEM 140.652344 1554307701.5730
MEM 140.652344 1554307701.6730
MEM 140.652344 1554307701.7730
MEM 140.652344 1554307701.8730
MEM 140.652344 1554307701.9730
MEM 140.652344 1554307702.0731
MEM 140.652344 1554307702.1731
MEM 140.652344 1554307702.2731
MEM 140.652344 1554307702.3731
MEM 140.652344 1554307702.4732
MEM 140.652344 1554307702.5732
MEM 140.652344 1554307702.6732
MEM 140.652344 1554307702.7732
MEM 140.652344 1554307702.8733
MEM 140.652344 1554307702.9733
MEM 140.652344 1554307703.0733
MEM 140.652344 1554307703.1733
MEM 140.652344 1554307703.2733
MEM 140.652344 1554307703.3734
MEM 140.652344 1554307703.4734
MEM 140.652344 1554307703.5734
MEM 140.652344 1554307703.6734
MEM 140.652344 1554307703.7735
MEM 140.652344 1554307703.8735
MEM 140.652344 1554307703.9735
MEM 140.652344 1554307704.0735
MEM 140.652344 1554307704.1735
MEM 140.652344 1554307704.2736
MEM 140.652344 1554307704.3736
MEM 140.652344 1554307704.4736
MEM 140.652344 1554307704.5736
MEM 140.652344 1554307704.6737
MEM 140.652344 1554307704.7737
MEM 140.652344 1554307704.8737
MEM 140.652344 1554307704.9737
MEM 140.652344 1554307705.0737
MEM 140.652344 1554307705.1738
MEM 140.652344 1554307705.2738
MEM 140.652344 1554307705.3738
MEM 140.652344 1554307705.4738
MEM 140.652344 1554307705.5739
MEM 140.652344 1554307705.6739
MEM 140.652344 1554307705.7739
MEM 140.652344 1554307705.8739
MEM 140.652344 1554307705.9740
MEM 140.652344 1554307706.0740
MEM 140.652344 1554307706.1740
MEM 140.652344 1554307706.2740
MEM 140.652344 1554307706.3740
MEM 140.652344 1554307706.4741
MEM 140.652344 1554307706.5741
MEM 140.652344 1554307706.6741
MEM 140.652344 1554307706.7741
MEM 140.652344 1554307706.8742
MEM 140.652344 1554307706.9742
MEM 140.652344 1554307707.0742
MEM 140.652344 1554307707.1742
